FASE,TORNEO,TJ,JG,JE,JP,GF,GC,DIF,PTS,Pos,Logro
Calificación,Apertura 2019,18,5,8,5,25,24,1,23,12,No clasificó
Calificación,Clausura 2019,17,8,6,3,26,15,11,30,4,Cuartos de Final
Calificación,Apertura 2018,17,11,3,3,26,13,13,36,1,Subcampeón
Calificación,Clausura 2018,17,5,7,5,22,18,4,22,12,No clasificó
Calificación,Apertura 2017,17,7,6,4,22,22,0,27,6,Cuartos de Final
Calificación,Clausura 2017,17,5,6,6,19,20,-1,21,11,No clasificó
Calificación,Apertura 2016,17,4,7,6,25,23,2,19,14,No clasificó
Calificación,Clausura 2016,17,5,7,5,25,24,1,22,9,No clasificó
Calificación,Apertura 2015,17,5,5,7,19,25,-6,20,14,No clasificó
Calificación,Clausura 2015,17,7,4,6,14,14,0,25,9,No clasificó
Calificación,Apertura 2014,17,5,6,6,16,15,1,21,13,No clasificó
Calificación,Clausura 2014,17,11,3,3,28,19,9,36,1,Cuartos de Final
Calificación,Apertura 2013,17,8,5,4,21,17,4,29,4,Cuartos de Final
Calificación,Clausura 2013,17,8,5,4,35,20,15,29,5,Subcampeón
Calificación,Apertura 2012,17,6,8,3,22,15,7,26,6,Cuartos de Final
Calificación,Clausura 2012,17,6,7,4,29,21,8,25,9,No clasificó
Calificación,Apertura 2011,17,8,5,4,21,14,7,29,2,Cuartos de Final
Calificación,Clausura 2011,17,7,5,5,25,20,5,26,5,Semifinales
Calificación,Apertura 2010,17,12,3,2,33,13,20,39,1,Cuartos de Final
Calificación,Bicentenario 2010,17,7,4,6,20,20,0,25,9,No clasificó
Calificación,Apertura 2009,17,11,0,6,35,19,16,33,2,Subcampeón
Calificación,Clausura 2009,17,2,7,8,26,33,-7,13,18,No clasificó
Calificación,Apertura 2008,17,7,5,5,29,23,6,26,5,Subcampeón
Calificación,Clausura 2008,17,9,4,4,27,17,10,31,3,Subcampeón
Calificación,Apertura 2007,17,7,4,6,27,22,5,25,7,Semifinales
Calificación,Clausura 2007,17,8,4,5,22,17,5,28,4,Semifinales
Calificación,Apertura 2006,17,9,3,5,27,20,7,30,1,Cuartos de Final
Calificación,Clausura 2006,17,9,3,5,29,19,10,30,3,Semifinales
Calificación,Apertura 2005,17,9,3,5,34,20,14,30,4,Cuartos de Final
Calificación,Clausura 2005,17,9,4,4,36,19,17,31,2,Semifinales
Calificación,Apertura 2004,17,4,4,9,30,37,-7,16,16,No clasificó
Calificación,Clausura 2004,19,6,5,8,36,34,2,23,11,Semifinales
Calificación,Apertura 2003,19,7,6,6,30,30,0,27,11,Cuartos de Final
Calificación,Clausura 2003,19,5,9,5,24,24,0,24,11,No clasificó
Calificación,Apertura 2002,19,7,7,5,30,26,4,28,6,Cuartos de Final
Calificación,Verano (Ene-May) 2002,18,7,6,5,32,29,3,27,9,Cuartos de Final
Calificación,Invierno (Jun-Dic) 2001,18,8,6,4,33,24,9,30,4,Semifinales
Calificación,Verano (Ene-May) 2001,17,6,4,7,25,27,-2,22,13,No clasificó
Calificación,Invierno (Jun-Dic) 2000,17,10,3,4,34,21,13,33,1,Cuartos de Final
Calificación,Verano (Ene-May) 2000,17,6,3,8,38,33,5,21,11,No clasificó
Calificación,Invierno (Jun-Dic) 1999,17,7,6,4,25,16,9,27,6,Subcampeón
Calificación,Verano (Ene-May) 1999,17,9,4,4,30,24,6,31,3,Semifinales
Calificación,Invierno (Jun-Dic) 1998,17,12,4,1,41,14,27,40,1,Cuartos de Final
Calificación,Verano (Ene-May) 1998,17,8,6,3,32,18,14,30,3,Cuartos de Final
Calificación,Invierno (Jun-Dic) 1997,17,8,7,2,29,16,13,31,2,Campeón
Calificación,Verano (Ene-May) 1997,17,7,4,6,21,24,-3,25,9,No clasificó
Calificación,Invierno (Jun-Dic) 1996,17,5,5,7,26,26,0,20,10,No clasificó
Calificación,Liga 1996,34,14,14,6,61,38,23,56,1,Cuartos de Final
Calificación,Liga 1995,36,21,8,7,93,43,50,71,2,Subcampeón
Calificación,Liga 1994,38,18,12,8,62,33,29,66,2,Cuartos de Final
Calificación,Liga 1993,38,16,10,12,66,44,22,58,6,Cuartos de Final
Calificación,Liga 1992,38,15,14,9,60,52,8,59,6,Semifinales
Calificación,Liga 1991,38,15,15,8,46,37,9,60,3,Cuartos de Final
Calificación,Liga 1990,38,8,17,13,47,62,-15,41,18,No clasificó
Calificación,Liga 1989,38,16,11,11,67,58,9,59,2,Subcampeón
Calificación,Liga 1988,38,14,12,12,58,56,2,54,8,No clasificó
Calificación,Liga 1987,40,19,16,5,53,32,21,73,2,Subcampeón
